district,site_name,state
Chikkamagaluru,Baba Budangiri,Karnataka
Chikkamagaluru,Bhadra Wildlife Sanctuary,Karnataka
Chikkamagaluru,Kemmanagundi,Karnataka
Chikkamagaluru,Hirekolale Lake,Karnataka
Chitradurga,Chitradurga Fort,Karnataka
Chitradurga,Vani Vilas Sagar,Karnataka
Chitradurga,Chandravalli,Karnataka
Chitradurga,Hidimbeshwar Temple,Karnataka
Chitradurga,Jogimatti,Karnataka
Dakshina Kannada,Mangaluru Kadri Manjunath Temple,Karnataka
Dakshina Kannada,Panambur Beach,Karnataka
Dakshina Kannada,St Aloysius Chapel,Karnataka
Dakshina Kannada,Sultan Battery,Karnataka
Dakshina Kannada,Kateel Durga Parameshwari Temple,Karnataka
Davanagere,Kunduvada Kere,Karnataka
Davanagere,Bagali Anantha Padmanabha Temple,Karnataka
Davanagere,Santhebennur Pushkarini,Karnataka
Davanagere,Harihar Temple,Karnataka
Davanagere,Davanagere Heritage Sites,Karnataka
Dharwad,Dharwad Unkal Lake,Karnataka
Dharwad,Siddharoodha Math,Karnataka
Dharwad,Someshwara Temple,Karnataka
Dharwad,Nrupatunga Betta,Karnataka
Dharwad,Dharwad Fort,Karnataka
Gadag,Lakkundi,Karnataka
Gadag,Trikuteshwara Temple,Karnataka
Gadag,Gadag Veeranarayana Temple,Karnataka
Gadag,Dambal,Karnataka
Gadag,Gajendragad Fort,Karnataka
Hassan,Belur Chennakeshava Temple,Karnataka
Hassan,Halebeedu Hoysaleswara Temple,Karnataka
Hassan,Shravanabelagola,Karnataka
Hassan,Manjarabad Fort,Karnataka
Hassan,Shettihalli Rosary Church,Karnataka
Haveri,Bankapura Peacock Sanctuary,Karnataka
Haveri,Tarakeshwara Temple Hangal,Karnataka
Haveri,Siddheshwara Temple Haveri,Karnataka
Haveri,Rattihalli Kadambeshwara Temple,Karnataka
Haveri,Galageshwara Temple,Karnataka
Kalaburagi,Gulbarga Fort,Karnataka
Kalaburagi,Khwaja Bande Nawaz Dargah,Karnataka
Kalaburagi,Sharana Basaveshwara Temple,Karnataka
Kalaburagi,Buddha Vihar,Karnataka
Kalaburagi,Sannati Archaeological Site,Karnataka
Kodagu,Madikeri Fort,Karnataka
Kodagu,Raja's Seat,Karnataka
Kodagu,Abbey Falls,Karnataka
Kodagu,Namdroling Monastery,Karnataka
Kodagu,Mandalpatti,Karnataka
Kolar,Kolar Gold Fields,Karnataka
Kolar,Kolaramma Temple,Karnataka
Kolar,Avani Temple,Karnataka
Kolar,Antara Gange,Karnataka
Kolar,Someshwara Temple,Karnataka
Koppal,Anegundi,Karnataka
Koppal,Itagi Mahadeva Temple,Karnataka
Koppal,Kanakagiri,Karnataka
Koppal,Koppal Fort,Karnataka
Koppal,Pampa Sarovara,Karnataka
Mandya,Srirangapatna,Karnataka
Mandya,Melukote,Karnataka
Mandya,Ranganathittu Bird Sanctuary,Karnataka
Mandya,KRS Brindavan Gardens,Karnataka
Mandya,Shivanasamudra Falls,Karnataka
Mysuru,Mysore Palace,Karnataka
Mysuru,Chamundeshwari Temple,Karnataka
Mysuru,St. Philomena's Church,Karnataka
Mysuru,Jaganmohan Palace,Karnataka
Mysuru,Karanji Lake,Karnataka
Raichur,Raichur Fort,Karnataka
Raichur,Maski Archaeological Site,Karnataka
Raichur,Mudgal Fort,Karnataka
Raichur,Hatti Gold Mines,Karnataka
Raichur,Ek Minar Ki Masjid,Karnataka
Ramanagara,Ramadevara Betta,Karnataka
Ramanagara,Janapada Loka,Karnataka
Ramanagara,Kanva Reservoir,Karnataka
Ramanagara,Mekedatu,Karnataka
Ramanagara,Channapatna Toy Town,Karnataka
Shivamogga,Jog Falls,Karnataka
Shivamogga,Agumbe,Karnataka
Shivamogga,Shivappanaika Palace Museum,Karnataka
Shivamogga,Kodachadri,Karnataka
Shivamogga,Kundadri Hill,Karnataka
Tumakuru,Devarayanadurga,Karnataka
Tumakuru,Siddara Betta,Karnataka
Tumakuru,Madhugiri Fort,Karnataka
Tumakuru,Mandagiri Jain Temple,Karnataka
Tumakuru,Pavagada Fort,Karnataka
Udupi,Udupi Sri Krishna Temple,Karnataka
Udupi,Malpe Beach,Karnataka
Udupi,St Mary's Island,Karnataka
Udupi,Kaup Lighthouse,Karnataka
Udupi,Kollur Mookambika Temple,Karnataka
Uttara Kannada,Gokarna,Karnataka
Uttara Kannada,Murudeshwar,Karnataka
Uttara Kannada,Dandeli,Karnataka
Uttara Kannada,Yana Caves,Karnataka
Uttara Kannada,Mirjan Fort,Karnataka
Vijayanagara,Hampi,Karnataka
Vijayanagara,Vijaya Vittala Temple,Karnataka
Vijayanagara,Virupaksha Temple Hampi,Karnataka
Vijayanagara,Achyutaraya Temple,Karnataka
Vijayanagara,Lotus Mahal,Karnataka
Vijayapura,Gol Gumbaz,Karnataka
Vijayapura,Ibrahim Rauza,Karnataka
Vijayapura,Bijapur Fort,Karnataka
Vijayapura,Jama Masjid Vijayapura,Karnataka
Vijayapura,Uppali Buruz,Karnataka
Yadgir,Yadgir Fort,Karnataka
Yadgir,Shorapur Fort,Karnataka
Yadgir,Wagangera Fort,Karnataka
Yadgir,Sannati Archaeological Site,Karnataka
Yadgir,Surpur Palace,Karnataka
